smiles,heavy_atoms
CCCS(=O)c1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,19
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,20
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,18
CC1Oc2ccc(Cl)cc2N(CC(O)CO)C1=O,18
CCOC(=O)c1cncn1C1CCCc2ccccc21,20
COc1ccccc1OC(=O)Oc1ccccc1OC,20
CCC(=O)c1ccc(OCC(O)CO)c(OC)c1,18
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC1CC=CCC1,20
COc1cc2c(cc1O)N=CC1CCC(O)N1C2=O,19
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,20
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,20
CC1CC(OC(=O)CN2CCCC2=O)CC(C)(C)C1,19
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,18
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,20
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,20
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,19
CC(=O)Oc1cccc(OC(C)=O)c1OC(C)=O,18
CC(C)C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O,19
NC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,20
CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1,20
Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,19
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,19
NS(=O)(=O)c1ccc(NCc2ccccc2)cc1,18
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,19
CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,19
Nc1nc2c(ncn2C2CC(CO)C2CO)c(=O)[nH]1,19
CC12CCC3=C(CCc4cc(O)ccc43)C1CCC2=O,20
CNC(=O)c1ccc(Cl)c(S(=O)(=O)NC)c1,16
NC(=O)c1cc(Br)cc(Br)c1O,12
CCCN(CCC)S(=O)(=O)c1ccc(C)cc1,17
CCc1ccccc1-n1c(C)nc2ccccc2c1=O,20
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,18
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,18
Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,19
Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,19
Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,17
Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,17
Cc1ccc(C)n1Nc1ccc(N2CCOCC2)nn1,20
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,20
Nc1ncnc2c1ncn2C1C=C(CO)C(O)C1O,19
CC1=NC(=O)C(C#N)=CC1=C1C=CN2C=CNC2=C1,19
CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1,18
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,18
OCC1(CO)COC(C(Cl)(Cl)Cl)OC1,14
CCN(CC)C(=O)c1ccccc1C(=O)N(CC)CC,20
Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1,19
CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,20
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,20
Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,18
Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,17
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,18
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,19
Cc1nn(C)c2c1C(c1cccc(Cl)c1)=NCCN2,19
NS(=O)(=O)c1cc(C(=O)c2ccc(O)cc2)cs1,18
COC1C(O)C(CO)OC1n1cnc2c(N)ncnc21,20
N#Cc1ccc(Nc2ncnc3c2CCC3O)cc1,19
CN(C)c1ncnc2c1ncn2Cc1ccccc1,19
O=C1c2cccnc2CN1Cc1c(F)cccc1F,19
COc1ccc(CN2Cc3ncccc3C2=O)cc1,19
O=C1c2cccnc2CN1Cc1ccc(Cl)cc1,18
O=C1c2cccnc2CN1Cc1cccc(Cl)c1,18
COc1cccc(-c2csc(-c3cccnc3)n2)c1,19
CC1(O)C(O)C(CO)OC1n1ccc2c(N)ncnc21,20
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,20
CSc1nc2ccccc2n1Cc1ccccn1,18
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,19
Nc1nc2c(ncn2C2OC(CO)C(O)C2F)c(=O)[nH]1,20
CNC(=O)OCc1nc(SC)n(C)c1COC(=O)NC,20
O=C(NCCc1c[nH]c2ccccc12)c1cccnc1,20
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,16
CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,20
CSc1c(CCC(C)O)c(O)c(C)c(O)c1C(C)=O,19
COc1cnc2c3c(nccc13)C(=O)c1ccccc1-2,20
Cc1nc(Cn2cnc3c2c(=O)[nH]c(=O)n3C)no1,19
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,19
Cc1cc(=O)c(N)nn1-c1cccc(C(F)(F)F)c1,19
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,20
O=C(CN1CCCC1=O)Nc1ccc(Cl)cc1,17
O=C(c1ccccc1)c1ccc2[nH]c(=O)sc2c1,18
Nc1ccc(-c2cc(=O)c3cc(O)ccc3o2)cc1,19
CC1(C)Oc2cc(C#N)sc2C(N2CCCC2=O)C1O,20
O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,19
CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O,19
O=C1CN=C(c2ccc[nH]2)c2cc(Cl)ccc2N1,18
